Unnamed: 0,Title,Cleaned_Ingredients
6624,Pretzel Ice Cream Pie,
6625,Chocolate-Almond Bark with Sea Salt,1 pound good-quality dark chocolate
6626,"Brochette de Lapin
                aux Pruneaux",1 rabbit
6627,Wiener Schnitzel,1/2 pound veal scaloppine or eye round; 1 lemon; Curly parsley or lettuce
6628,Duck Prosciutto,2 1-pound boneless Moulard duck breasts with skin
6629,Chard and Mushroom-Stuffed Breast of Veal,2 ounce s dried porcini mushrooms; 1 bunch Swiss chard
6630,Butterfinger Truffles,10 ounce s semisweet chocolate
6631,Petits Farcis,4 small new onions; 4 small pattypan squashes; 4 small tomatoes; 4 small eggplants; 4 small zucchini; 1 small onion; 8 ounces  ground veal; 8 ounces  ground pork; 1 teaspoon  fresh thyme leaves; 1/2 teaspoon fennel seeds; 1/4 teaspoon  garlic
6632,Lemony Slice-and-Bakes,2 tablespoons finely  lemon zest; 2 tablespoons  fresh lemon juice
6633,Smoked Salmon Dip,4 teaspoons Prepared Horseradish; 1 pound thinly  smoked salmon; 2 tablespoons thinly  chives plus more; 1 lemon
6634,Butterscotch Blondie Bars With Peanut-Pretzel Caramel,
6635,Potato Rolls with Caraway Salt,1 8-ounce russet potato
6636,Peppermint Meringues,
6637,Cardamom Crescents,
6638,Chicken Liver Mousse with Riesling-Thyme Gelée,1 pound chicken livers; 3 tablespoons  shallots; 3 sprigs thyme; 2 tablespoons Calvados; Fresh thyme sprigs or leaves
6639,BA Party Mix,1 cup store-bought roasted green peas; 12 large garlic cloves
6640,Roast Beef Tenderloin with Caesar Crust,1 4-pound center-cut beef tenderloin; 4 teaspoons finely  lemon zest; 2 garlic cloves;
6641,Boozy Olives,"6 3x1"" strips lemon zest; 2 tablespoons fresh lime juice"
6642,Duck Fat-Potato Galette with Caraway and Sweet Onions,2 tablespoons rendered duck or bacon fat; 2 pounds medium Yukon Gold potatoes
6643,Poached Eggs in Tomato Sauce With Chickpeas and Feta,1 medium onion; 4 garlic cloves; 2 jalapeños
6644,Forked Oven-Roasted Potatoes,6 pound s small Yukon Gold potatoes
6645,Honey-Bourbon Toddy,
6647,Cherry-Pistachio Nougat,
6648,Almond-Oat Lace Cookies,
6649,Pickled Crudités,8 g arlic cloves; 2 tablespoons fennel seeds; 2 tablespoons coriander seeds; 1 pound baby or small red-skinned sweet potatoes
6650,Faux Pho,"1/2 small onion; 4 garlic cloves; 1 3x1"" piece peeled ginger; 4 ounces  mixed mushrooms; 1 scallion; 1 1/4-1/2-pound piece beef eye round; Bean sprouts; basil leaves"
6651,Holiday Ham with Riesling and Mustard,1 14-16-pound whole cured; 1/4 cup  shallots; 3 sprigs thyme plus 2 teaspoons fresh thyme leaves
6652,Chocolate Macarons with Orange Ganache,3 1/2 ounce s bittersweet chocolate; 1 tablespoon finely  orange zest
6653,Cioppino,1 teaspoon fennel seeds; 1 medium onion; 1 small  fennel bulb; 4 garlic cloves; 1 teaspoon dried oregano; 1 28-ounce can whole peeled tomatoes
6654,Chewy Ginger Cookies,2 1/2 teaspoons ground ginger; 2 teaspoons finely  peeled ginger; 1/2 cup  crystallized ginger
6655,The Long Hello,1 3/4 cup s Calvados or other apple brandy; 1 750-milliliter bottle Champagne
6656,Gnocchi Gratin with Gorgonzola Dolce,"1 pound russet potatoes; 1 sprig rosemary; 1 1/4""-thick slice fresh ginger"
6657,Cranberry and Orange Granola,1/3 cup candied orange peel
6658,Walnut-Thyme Honey,1 tablespoon fresh thyme or rosemary leaves plus 2 sprigs; 1/4 teaspoon finely  lemon zest
6659,Double Rack of Pork with Burnt Orange-Caramel Pan Sauce,3 tablespoons chopped fresh sage; 3 tablespoons chopped fresh thyme; 2 6-bone racks of pork
6660,Gingerbread Cake,1 teaspoon ground ginger; 2 teaspoons  peeled ginger; 1/4 cup store-bought lemon curd; Finely  lemon zest
6661,Potato and Celery Root Mash,2 1/2 pound s mixed russet
6662,Rösti with Bacon and Scallions,4 slice s thick-cut smoked bacon; 6 scallions
6663,Salt-Roasted Chicken,3 l arge sprigs flat-leaf parsley; 3 large sprigs marjoram; 3 large sprigs tarragon; 1 3—4-pound chicken
6664,Fruit-Filled Ice Ring,2 g reen pears; 2 cored red apples
6665,Peameal Bacon,1 bay leaf; 4 1/2 pounds  boneless lean pork loin
6666,Baja Cabbage Slaw,1/2 head small  green cabbage; 3/4 teaspoon fresh lime juice
6667,Penang Fried Rice Noodles,"1/2 pound peeled and deveined large shrimp; 1 tablespoon chile paste  or Chinese garlic chile paste; ""3 ounces Spanish chorizo"
6668,"Wonky Summer Pasta, Herby Salad, Pear Drop Tartlets",zest and juice of 2 lemons; a small bunch of fresh basil; 1 clove garlic; 1 tablespoon fennel seeds; 1 x 5-ounce package prewashed arugula and/or watrecress; a small bunch of fresh mint; a small bunch of fresh tarragon; a large handful of red
6670,"Rosemary-Brined, Buttermilk Fried Chicken",1 small onion; 4 garlic cloves; 5 or 6 branches rosemary; 1 lemon; 8 chicken legs; 8 chicken wings
6671,Simple Syrup,
6672,Triple-Cooked Chips,1kg Maris Piper potatoes
6673,Sautéed Fillet of Skate with Caramelized Apples and Chicken Liver,1 onion; 1 1/2 cup finely  Granny Smith apples; 6 ounces chicken livers; 1 lemon; 1 tablespoon chopped fresh chives
6674,Chana Masala,1 l arge onion; 2 to 3 garlic cloves; Two 15- to 16-ounce cans chickpeas; 2 teaspoons  fresh or jarred ginger; 2 large tomatoes; 1 tablespoon lemon juice; 1/4 cup  fresh cilantro
6675,Gin Punch,6 navel oranges; 6 lemons; 3 limes; 1 pineapple; 1 3/4 cups freshly squeezed lemon juice; 1  bottle Perrier-Jouët Grand Brut champagne
6676,Painful Punch,2 quarts orange juice; 2 quarts pineapple juice; 10 oranges
6677,Uncle Angelo's Egg Nog,
6678,Witch's Finger Bread Sticks with Maple Mustard Dip,48 slice d almonds or peanut halves
6679,"""Candy Corn"" Frozen Citrus Cream Pops","1 teaspoon  fresh lemon zest; 1/3 cup plus 2 tablespoons fresh lemon juice; ""36 drops yellow food coloring"
6680,Megan's Pecan Pralines,2 cup s  pecans
6681,Endive with Chicken Liver Pâte and Dried-Cherry Marmalade,1 l arge yellow onion; 1 tablespoon fresh thyme or marjoram leaves; 2 pounds raw chicken livers; Zest of 2 oranges
6682,Beef Stroganoff with Peppered Spaetzle,10 shallots; 3 cups  black trumpet
6683,Siobhan's Thumbprint Cookies,
6684,Pulled Brisket Sliders,3 medium tomatoes; 6 cloves garlic; 1 tablespoon dried oregano; 4 pounds beef brisket
6685,"Savory Pumpkin Pie Soup with Cinnamon Marshmallows, Pepita Streusel, and Whipped Crème Fraîche",1  piece fresh ginger; 1 medium onion; 5 cloves garlic; 2 stalks celery; 1 medium leek
6686,"Arugula with Brûléed Figs, Ricotta, Prosciutto, and Smoked Marzipan",16 fresh figs; Juice of 1 lemon; 10 cups baby arugula
6687,Sara's Santa's Whiskers,3/4 cup flaked sweetened coconut; 3 ounces red candied cherries; 3 ounces green candied cherries; 1/2 cup  coarsely chopped pecans
6688,Esther's Gingery Chocolate Chip Cookies,1/4 cup crystallized ginger*
6689,Caramel Corn with Smoked Almonds and Fleur de Sel,1 cup popcorn kernels; 2 cups  smoked or regular Marcona almonds
6690,Patricia's Viennese Crescents,1 vanilla bean
6691,Kendra's Vanilla-Cherry Chocolate Chip Cookies,1 vanilla bean; 1/2 cup  chopped blanched hazelnuts or walnuts
6692,Yukon Gold Potato and Jerusalem Artichoke Latkes with Apple-Horseradish Mayonnaise and Taramasalata,1  piece fresh horseradish root; 3 pounds Yukon gold potatoes; 1 pound Jerusalem artichokes; 1 large yellow onion; 2 tablespoons  fresh flat-leaf parsley; 2 tablespoons  fresh chives
6693,Lauren's Peanut Butter Kiss Cookies,
6694,New Orleans BBQ Shrimp,2 pound s large shrimp; 6 cloves garlic; Juice of 1 lemon; One 8-ounce bottle clam juice
6695,Pat's Deep-Fried Cornish Game Hens,1 onion; 1 bunch fresh thyme sprigs; Six 1 1/2-pound Cornish game hens
6696,Bourbon Bread Pudding,1 cup chopped pecans
6698,Frozen Coconut Yogurt with Cinnamon,1/2 cup unsweetened shredded coconut
6699,Grass-Fed Beef Meatloaf in a Bacon Blanket,1 medium onion; 2 medium carrots; 1 large celery rib; 4 large garlic cloves; 6 bacon slices
6700,Golden Scalloped Potatoes,
6701,Best Friends Forever Brownies,"3 ounce s unsweetened chocolate; ""1/4 cup unsweetened cocoa """
6702,Caramel Apple Crisp,1/4 cup unsweetened apple juice; 4 pounds baking apples such as Golden Delicious
6703,Lemony Green Beans and Peas,1/2 pound fresh green beans; 1 1/2 cups  frozen peas; 1 teaspoon  lemon zest
6704,Roasted Squash with Mint and Toasted Pumpkin Seeds,1/4 cup fresh mint leaves
6705,Pumpkin Agnolotti,1/4 teaspoon lemon zest
6706,Spiced Glazed Carrots with Sherry & Citrus,2 bunch es of thin carrots; 1 bay leaf; 1 tablespoon fresh clementine juice or orange juice; 1 tablespoon fresh tarragon leaves; 1/4 teaspoon freshly  clementine zest or orange zest
6707,Cajun-Spiced Turkey,1 12-14-pound turkey; 1 celery stalk; 1 medium onion
6708,Candied Mandarin Oranges with Cranberries,10 l arge or 20 small mandarin oranges
6709,Oyster-Cornbread Stuffing,1 sprig sage plus 1 tablespoon thinly  sage leaves; 1 sprig rosemary; 1 pound breakfast sausage; 2 medium onions; 1 1/2 cups  celery; 1/4 cup  flat-leaf parsley; 2 tablespoons  fresh thyme
6710,Tandoori Turkey,2 1/2 tablespoons coriander seeds; 1 tablespoon coriander seeds; 1 12-14-pound turkey; 1 medium red onion; 2 celery stalks; 4 garlic cloves; 1/2 cup chopped peeled ginger; 1/2 cup fresh lime juice; 1/4 cup  garlic; A turkey roasting bag
6711,Pear Upside-Down Cake,2 medium pears
6712,Cider-Brined Turkey with Star Anise and Cinnamon,2 quarts plus 1 cup apple cider; 6 garlic cloves; 6 scallions
6713,Creamed Collard Greens,"2 l arge bunches collard greens; 1 cup 1/3"" pieces  thick-cut smoked bacon; 2 large shallots"
6714,Cranberry-Pepper Jelly,2 Fresno or red jalapeño chiles; 1 tablespoon fresh lemon juice
6715,Toasted Nut Tart,1/2 cup toasted hazelnuts
6716,Tacos with Pork in Green Sauce (Tacos de cerdo en salsa verde),2 serrano or jalapeño chiles; 3 medium garlic cloves; 1/2 cup coarsely chopped cilantro; 3 pounds pork shoulder
6717,Gâteau de Sirop,1 tablespoon  peeled ginger
6718,Cranberry Spice Cake,1 tablespoon freshly  orange zest; 2 teaspoon freshly  lemon zest; 1/3 cup apple cider; 2 teaspoons freshly  lemon zest; 3 tablespoons strained fresh lemon juice; citrus-cranberry compote ; optional)
6719,Grape & Apple Pie,3 pound s tart
6720,"Celery Root, Kohlrabi, and Apple Purée",2 pound s celery root
6721,Cream Biscuits,
6722,Eggplant and Beef Stir-Fry,"4 tablespoons chopped fresh mint; 1 1"" piece ginger"
6723,"Potato, Sausage, and Spinach Breakfast Casserole",12 ounce s fresh breakfast sausage links; 2 cups  leeks; 2 russet potatoes
6724,Turkey Meatballs with Sage and Cranberries,1 pound ground lean turkey; 1/2 cup  onion; 1/3 cup packed Swiss chard
6725,Cajun Spice Mix,1 tablespoon dried oregano; 1 tablespoon dried thyme
6726,Pumpkin Cheesecake,1 1/2 teaspoons finely  peeled ginger; 1/2 teaspoon ground ginger
6727,Pan-Seared Salmon with Pumpkin Seed-Cilantro Pesto,1/2 cup cilantro leaves and stems; 1/2 teaspoon cracked coriander seeds; 1/2 garlic clove; 1 tablespoon  fresh lime juice; 4 6-ounce salmon fillets; 1 lime
6728,Pumpkin-Pear Crisps,2 tablespoons fresh lemon juice; 3 large pears
6729,Fried Avocado Tacos (Tacos de aguacate rebosado),3 firm-ripe avocadoes
6730,Parsnip-Leek Soup with Lump Crab,1 pound parsnips; 1 1/2 cups  chopped leeks; 4 sprigs fresh thyme or lemon thyme; Juice of 1/2 lemon; 1/4 pound lump crabmeat
6731,Poached Apples with Vanilla Yogurt,"1/3 cup fresh orange juice; 2 3x1"" strips orange peel; 1 3x1"" strip of lemon peel; 4 medium Pink Lady"
6732,Cumin-Scented Quinoa and Black Rice,"1 bay leaf; 1 small onion; 3 large garlic cloves; 3 tablespoons fresh lemon juice; 1/4 cup chopped fresh cilantro; 1/4 cup chopped flat-leaf parsley; 2 tablespoons 1"" pieces chives; 1 avocado"
6733,Rich and Silky Turkey Gravy,2 bay leaves or 1 sprig thyme; 4 dried porcini mushrooms
6734,"Crispy Cauliflower with Capers, Raisins, and Breadcrumbs",1 l arge head of cauliflower; 3 garlic cloves; 2 tablespoons chopped flat-leaf parsley
6735,Grits Dressing,1 cup chopped bacon; 2 tablespoons chopped fresh chives
6736,Potato & Celery Root Gratin with Leeks,2 g arlic cloves; 1 sprig thyme plus 3 teaspoons fresh thyme leaves; 3 leeks
6737,Sweet Potatoes with Blue Cheese and Pecans,3 pound s sweet potatoes
6738,Citrus-Cranberry Compote,1 orange; 1/4 cup fresh orange juice
6739,Buttermilk-Lemon Chess Pie,1 3/4 tablespoons fresh lemon juice; 1 tablespoon freshly  lemon zest
6740,Crawfish Gravy,1 pound thick- smoked bacon; 1/4 cup seeded; 3 tablespoons  garlic; 1 pound peeled crawfish tails or coarsely chopped peeled shrimp; 1/2 cup chopped scallions; Ingredient info: Crawfish tails can be found at cajungrocer.com.
6741,"Pecan, Bourbon, and Butterscotch Bread Pudding",1/2 vanilla bean
6742,Pumpkin Shrimp Curry,1 cup onion; 1 tablespoon  ginger; 1 tablespoon  garlic; 1 chopped plum tomato; 1 pound shrimp; 1 1/2 teaspoons fresh lime juice; Cilantro; Lime zest; Fried shallots
6743,"Spinach, Fennel, and Sausage Stuffing with Toasted Brioche",1 pound hot Italian sausage; 1 yellow onion; 1 medium fennel bulb; 2 pounds frozen spinach
6744,"Wild Rice, Fruit, and Pecan Stuffing",3 l arge celery stalks; 1 cup  onion; 1 garlic clove; 1 bay leaf; 1/4 cup  dried apricots; 1 1/2 cups thinly  small celery stalks; 1/2 cup celery leaves from celery heart; coarsely chopped
6745,Apple-Walnut-Ginger Galette,3 l arge apples
6746,Kabocha Purée with Ginger,1 2 - 2 1/2-pound kabocha squash
6747,Shaved Root Vegetable Salad,1/4 cup fresh orange juice; 1 tablespoon fresh lemon juice; 1 small turnip; 1 carrot; 2 radishes; 1/4 cup  flat-leaf parsley
6748,The Fluffiest Mashed Potatoes,4 pound s russet potatoes; 1 pound Yukon Gold potatoes; 3 sprigs thyme or 1 sprig rosemary
6749,Glazed Hakurei Turnips,3 bunch es baby hakurei turnips
6750,Citrus Salad with Mint Sugar,7 each of grapefruits
6751,Green Beans with Miso and Almonds,2 1/2 pound s fresh green beans; 3 tablespoons thinly  scallions
6752,Tomato Gravy,2 medium onions; 2 sprigs thyme; 1 28-ounce can  tomatoes; 1/3 cup thinly  scallions
6753,"Brown Butter, Ginger, and Sour Cream Coffee Cake",1/2 cup chopped crystallized ginger; 1 teaspoon ground ginger; 3/4 cup almonds with skins
6754,Maxine's Turkey Stuffing,1 bag turkey giblets; 1 turkey neck; 4 celery stalks
6755,Shrimp and Grits Cakes,1 pound large local shrimp; Juice of 1 lemon; 3 slices thick-cut bacon; 3/4 cup chopped scallions; 1/3 cup chopped fresh parsley
6756,Pork and Apple Pie with Cheddar-Sage Crust,Fresh sage leaves for garnish; 1 1/2 pounds  firm-sweet apples
6757,Holiday Apple-Raisin Challah,1 l arge firm-tart apple
6758,Mint Apple Crisp,Three 1/4-inch-thick slices Granny Smith apple; 2 fresh mint leaves; 2 ounces Heart of the Hudson apple vodka; 4 thin slices Granny Smith apple
6759,Stumptown Vanilla Flip,3/4 ounce Mandarine Napoléon orange liqueur; orange twist
6760,Rittenhouse Inn Wassail Punch,1/2 inch fresh ginger root; 1 gallon fresh apple cider; 6 ounces cranberry juice
6761,Grilled Veal Chops with Caper and Sage Sauce,4 veal rib chops trimmed of excess fat; 1/2 cup   red onion; 1 tablespoon  fresh sage; 2 teaspoons julienned lemon zest; 1 tablespoon fresh lemon juice; 2 tablespoons chopped fresh parsley
6762,Raspberry Velvet,1/3 cup seedless black raspberry preserves; 2 teaspoons fresh lime juice; 4 fresh mint sprigs
6763,Polenta with Mushroom Ragout,1 small onion; 5 ounces mushrooms
6764,Bread with Chocolate and Olive Oil,
6765,Black Rice with Squid,1 lb 5 oz fresh squid; 3/4 oz squid ink
6766,Gazpacho,3 g arlic cloves; 2 onions; 2 1/4 oz cucumber; 2 1/4 lb ripe tomatoes
6767,Thai Curry,1 1/2-inch piece fresh ginger; 1 cup soaked peanuts; 1 cup fresh; 1/2 cup coconut water; 1 clove garlic; Juice of 1 orange; 1/4 head cauliflower; 1 small carrot; 1/4 head red cabbage; 1/2 large cucumber; Basil leaves; Mung bean sprouts
6768,Simply Splendid Sugar Cookies,
6769,Falafel,6 cup s sprouted garbanzo beans; 1 cup loosely packed fresh flat-leaf parsley leaves; 1 cup freshly squeezed lemon juice; 1 onion
6770,Chocolate Cake,
6771,Bourbon Balls,
6772,Shirred Eggs with Black-Eyed Pea Salsa and Collard Greens,1 slice thick bacon; 1 cup chopped onion; 10 ounces frozen chopped collard greens; 1 can  black-eyed peas; 1/2 cup  tomato; 2 tablespoons chopped fresh chives; 2 tablespoons fresh lime juice; 1 small green chile
6773,Chocolate and Hazelnut Spread,3 1/2 oz dark chocolate
6774,Savory Rolls,1 cup Cast-Iron Mushrooms; 2 pounds shallots; 2 cups chopped dill
6775,Christmas Wreaths,4 cup s  cornflakes
6776,Linguine with Italian Tuna and White Beans,8 ounce s spinach linguine; 1/4 cup fresh lemon juice; 2 large cloves garlic; 1 can  cannellini beans; 1 small red onion; 1/2 cup chopped Italian leaf parsley; 1/2 thinly  lemon
6777,"Butternut Squash, Spinach and Goat Cheese Pizza",1 medium red onion; 2 cups chopped fresh baby spinach; 1/2 teaspoon dried thyme
6778,Cast-Iron Mushrooms,1/2 pound crimini mushrooms; 1/2 pound white button mushrooms; 1/2 pound oyster mushrooms; 2 king oyster mushrooms; 1 portobello mushroom; 2 shallots; 2 cloves garlic; 2 tablespoons parsley
6779,Belgian Onion Soup,5 l arge onions; 6 cloves of garlic; 4 shallots; 6 sprigs of thyme
6780,Chicken and Chickpea Stew,1 pound boneless; 1 1/2 cups chopped onion; 2 large cloves garlic; 1 tablespoon tomato paste; 1 can   tomatoes; 1 can  chickpeas; 1 yellow or green zucchini; 3 tablespoons chopped fresh cilantro
6781,Gourmet Live's First-Birthday Cake,8 ounce s bittersweet chocolate; 2 ounces unsweetened chocolate
6782,Roasted Sweet Potato and Black Bean Salad,2 l arge sweet potatoes; 1/4 cup fresh lime juice; 1 tablespoon  garlic; 1 can  black beans; 1 cup halved cherry tomatoes; 1/2 cup thinly  scallions; 1/3 cup chopped fresh mint; 4 cups baby arugula
6783,Honeycomb,
6784,Seafood Paella with Edamame,1 cup chopped onion; 1/2 cup canned  tomatoes; 1 tablespoon chopped garlic; 1 tablespoon chopped fresh thyme or 1 teaspoon dried; 1/2 pound large shrimp; 1/2 pound sea scallops; 2 tablespoons chopped fresh cilantro
6785,Red Wine–Braised Short Ribs,5 pound bone-in beef short ribs; 3 medium onions; 3 medium carrots
6786,Herb-Lemon Zest Butter,1/4 cup mixed herbs
6787,Lamb Tagine With Chickpeas and Apricots,"3/4 cup dried chickpeas; 5 garlic cloves; 3 pounds 1"" cubes lamb shoulder; 1 large onion; 1 tablespoon chopped peeled ginger; 1 cup canned  tomatoes with juices; 1/2 cup halved dried apricots; Chopped fresh cilantro"
6788,Salt-and-Vinegar Potato Chips,5 Yukon Gold potatoes
6789,Chocolate Hazelnut Cake with Praline Chocolate Crunch,4 ounce s dark chocolate; 1/2 cup brandy or orange liqueur; 3 1/2 ounces dark chocolate
6790,Korean Steak Tartare,1 Asian pear
6791,Golden-Brown Omelet,Caramelized onions; Chopped herbs
6792,Ginger-Yogurt Mousse with Pistachio Meringue,"1/4 cup chopped natural pistachios; 1 2"" piece peeled ginger; 1 vanilla bean; 1 tablespoon chopped natural pistachios"
6793,Rye Witch,1 1/2 cup s Kentucky rye whiskey; 3 tablespoons Strega; 12 dashes orange bitters; 12 orange twists
6794,Panang Curry Paste,2 fresh lemongrass stalks
6795,Hanger Steak with Mushrooms and Red Wine Sauce,12 ounce s assorted mushrooms; 1 1 1/2-pound hanger steak
6796,Blue Cheese-Bacon Focaccia,5 ounce s bacon; 1 tablespoon fresh rosemary sprigs
6798,Fried Chickpeas,2 15-ounce cans chickpeas
6799,Banana Tartes Tatin,4 firm ripe bananas
6800,Deviled Eggs and Pickled Beets,1 tablespoon coriander seeds; 1 bay leaf; 2 teaspoons prepared white horseradish; Sliced chives
6801,Fried Fingerling Potatoes with Tarragon Sauce,1 pound small fingerling potatoes; 1 teaspoon fresh lemon juice; 1 tablespoon  shallot; 1/2 teaspoon  fresh tarragon
6802,Steamed Mussels in White Wine,1 l arge shallot; 1/4 onion; 4 1/2 pounds mussels
6803,French 75,1/2 cup fresh lemon juice; lemon twists
6805,Arctic Char Gravlax with White Grapefruit,3 tablespoons plus 2 teaspoons finely  white or pink grapefruit zest; 3 teaspoons  fresh dill
6806,French Onion Soup,2 medium onions; 1 tablespoon Calvados
6807,Togarashi Popcorn,3 g arlic cloves; 1/3 cup popcorn kernels
6808,"Butternut Squash, Ricotta, and Sage Crostini",24 fresh sage leaves; 1/2 teaspoon finely  lemon zest; Fresh lemon juice
6809,Panang Vegetable Curry,2 l arge shallots; 2 tablespoons chopped peeled ginger; 8 fresh or frozen kaffir lime leaves; 1 4-pound kabocha squash
6810,Cranberry Cobbler,1 l emon; 1/2 orange; 1 1/2 cups London dry gin; 6 mint sprigs
6811,Cauliflower Soup with Chive Oil and Rye Crostini,2 1-ounce bunches chives; 2 sprigs rosemary; 1 large head of cauliflower; 1 large onion
6813,Orange-Blossom-Honey Madeleines,1/2 teaspoon finely  orange zest
6814,Tangerine Soufflé with Citrus Coulis,1 tablespoon  fresh lemon juice; 1 teaspoon fresh lemon juice
6815,Buttered-Popcorn Ice Cream Sundae,2 cup s popped popcorn; 2 tablespoons  bittersweet chocolate; 1 cup coarsely chopped store-bought peanut brittle
6816,Baked Hawaiian Islands,"1/2 cup unsweetened shredded coconut; 6 3/4 cups 1/2"" cubes fresh pineapple; ""3 tablespoons dark rum ""; 1 teaspoon coconut rum; 4 ripe  passion fruits"
6817,Smoked Haddock Chowder,1 l eek; 1 celery stalk; 1 1/2 pounds Yukon Gold potatoes
6818,Roasted Domino Potatoes,3 1/2 pound s Idaho potatoes
6819,Milk Chocolate and Salted Caramel Gâteau Saint-Honoré,
6820,Parkside Fizz,"6 l arge mint sprigs; ""1 1/2 cups citrus vodka """
6821,Thyme Gougères,2 teaspoons fresh thyme leaves plus more for garnish
6822,Yogurt & Matcha Swirl With Mango,1 ripe mango
6823,Brussels Sprouts with Walnut Vinaigrette,3 3/4 cup s brussels sprouts
6824,Leeks Vinaigrette,6 medium leeks; 5 sprigs thyme; 2 tablespoons chopped flat-leaf parsley; whites and yolks separated and chopped
6825,Muesli Bread,1/4 cup dried apricots; 1/2 cup pistachios; 1/4 cup hazelnuts
6826,Five-Layer Bars,2 sleeves graham crackers; 1 cup sweetened flaked coconut; lightly toasted and coarsely chopped
6827,Brown Sugar Cookies,1/2 teaspoon ground ginger
6828,Cocoa-Carrot Cupcakes with White Chocolate Chips,1 pound carrots
6829,Lan Pham's Herbed-Roasted Onions,2 medium red onions; 2 medium yellow onions; 2 tablespoons fresh lemon juice; 2 garlic cloves; 1 tablespoon fresh thyme leaves; 1 tablespoon chopped fresh cilantro
6830,"Cecylia Roznowska's Potato Pancakes Stuffed with Bacon, Mushrooms, and Onion",2 slice s bacon; 2 large onions; 6 white mushrooms; 5 to 6 medium russet potatoes
6831,Francis Butler's Texas Tamale-Stuffed Turkey,4 shallots; 2 garlic cloves; 2 jalapeño chiles; 30 medium pork
6832,Tía Rosa and Ruth Eichner's Sweet-and-Sour Carrots,2 pound s carrots; 3 yellow onions; 1 cup tomato puree
6833,Annie Lau's Garlic Stir-Fried Brussels Sprouts,4 g arlic cloves; 2 cups Brussels sprouts
6834,Pumpkin Bread Pudding with Spicy Caramel Apple Sauce,1 vanilla bean
6835,"Sourdough, Wild Mushroom, and Bacon Dressing",1/2 pound shiitake mushrooms; 1/2 pound oyster mushrooms; 1 pound cremini mushrooms; 3/4 pound slab bacon; 1 large Spanish onion; 5 cloves garlic; 2 tablespoons  fresh sage; 2 tablespoons  fresh thyme; 1/2 cup chopped fresh flat-leaf parsley
6836,Herb Roasted Turkey,1  turkey; 2 tablespoons  fresh flat-leaf parsley; 1 tablespoon  fresh sage; 1 tablespoon  fresh rosemary; 1 tablespoon  fresh thyme; 3 large carrots; 3 large stalks celery; 2 large onions
6837,Pumpkin Bread,
6838,"Cranberry, Fig, and Pinot Noir Chutney",12 dried figs; 3 strips orange zest; 1  piece fresh ginger
6839,Chocolate Sandwich Cookies,
6840,Berry Scones,
6841,Greek Feta Burger,4 ounce s hothouse cucumbers; 1/2 clove garlic; 1 teaspoon fresh lemon juice; 1 pound lean ground beef; 4 ounces zucchini; 1/3 cup finely  red onion; 1/2 teaspoon dried marjoram; Sliced cucumber
6842,Buffalo Chicken Burger,1/2 cup carrots; 1 pound ground white-meat chicken; 1 celery stalk; Iceberg lettuce; Carrot and celery sticks
6843,Ranch Bison Burger,1 pound lean ground bison; 1 small jalapeño chile; 1 teaspoon  lime zest; Sliced red onion; Lettuce; Pickled jalapeño
6844,Sicilian Turkey Burger,1 pound lean ground turkey; 3 tablespoons tomato paste; 1/2 teaspoon dried basil; 1/2 teaspoon  fennel seeds; Sliced tomato
6845,Vietnamese Tuna Burger,1 cup shredded red cabbage; 1/2 cup shredded carrots; 1/2 cup broccoli slaw; 1/2 cup chopped fresh cilantro; 1/4 cup chopped fresh mint; 1 1/4 pound tuna steak; 1/2 cup  scallions; 4 hamburger buns
6846,Black Bean-Corn Burger,1 can  low-sodium black beans; 3/4 cup corn; 1/4 cup chopped fresh cilantro; 1 tablespoon chopped chipotle chile in adobo; 1/2 teaspoon dried oregano; 8 cups baby spinach; 1/2 avocado; 1 teaspoon fresh lime juice; 4 whole-wheat hamburger buns
6847,Zombies Rising,12 1/2 oz Half and Half
6848,Veggie Sushi Rolls,English cucumber 1/4; carrot 1/2; ripe avocado 1/4
6849,Lamb Pizza,1 1/2 lb ground lamb from the leg; 2 cups  chopped yellow onion; 2 cloves garlic; 2 tsp chopped fresh thyme leaves; 1 tsp dried oregano; 3 cups  canned plum tomatoes
6850,Crustless Mini Quiches,1/2 head broccoli
6851,Fiesta Veggie Wrap,Ripe avocado 1/2; Carrot 1/4 cup  shredded; English cucumber 4 slices
6852,Chicken & Rice Soup,skinless; carrot 1; celery 1 stalk; frozen peas 1 cup; garlic 1 clove; thyme
6853,SSC Brownies,4 oz bittersweet chocolate
6854,Candied Rose Petal and Chocolate Cookies,2 cup s  semisweet chocolate
6855,Bengali-Style Fish in Yogurt Curry,1 pound tilapia fillets; 1 medium red onion; 1 tablespoon  garlic; 2 tablespoons  fresh cilantro
6856,Carom Seeds Poori,
6857,Ginger and Curry Leaf Rasam,1/2 cup dried red lentils
6858,Peanut Butter Ice Cream,
6859,Peanut Butter and Jelly Ice Cream Sandwiches,
6860,Red Velvet Whoopie Pies,
6861,Aged Rib Eye with Onion Purée,2 medium Vidalia or Maui onions; 1 28-ounces dry-aged rib-eye steak; Assorted soft herb sprigs (such as tarragon; flat-leaf parsley
6862,Honey Cake,1/4 teaspoon ground ginger; 1 1/2 teaspoons packed  orange zest; 4 ounces bittersweet  chocolate
6863,Carroty Mac and Cheese,2 1/2 cup s coarsely  carrot
6864,Chicken Biscuits,1 tablespoon chopped fresh dill; 10 small boneless; Sausage Gravy
